Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,164.289993,165.279999,164.070007,164.940002,164.940002,7566600
2021-09-21,165.809998,166.630005,165.490005,166.039993,166.039993,7181500
2021-09-22,165.889999,167.149994,165.029999,165.419998,165.419998,9777800
2021-09-23,164.100006,164.199997,163.270004,163.509995,163.509995,8451900
2021-09-24,163.000000,164.000000,162.740005,163.300003,163.300003,6937500
2021-09-27,163.850006,164.360001,163.509995,163.639999,163.639999,4943000
2021-09-28,162.729996,162.820007,161.729996,162.050003,162.050003,9282800
2021-09-29,162.350006,162.740005,160.970001,161.320007,161.320007,8360700
2021-09-30,162.660004,164.949997,162.339996,164.220001,164.220001,10572900
2021-10-01,164.270004,164.960007,163.889999,164.589996,164.589996,6654700
2021-10-04,163.690002,165.539993,163.470001,165.360001,165.360001,7651700
2021-10-05,163.940002,164.850006,163.490005,164.589996,164.589996,5617300
2021-10-06,164.229996,165.059998,164.149994,165.029999,165.029999,6067200
2021-10-07,164.020004,164.850006,163.960007,164.160004,164.160004,4791500
2021-10-08,166.320007,166.419998,164.139999,164.229996,164.229996,8536100
2021-10-11,164.039993,164.580002,163.910004,163.919998,163.919998,3820100
2021-10-12,164.570007,165.440002,164.309998,164.660004,164.660004,5453000
2021-10-13,165.279999,167.919998,165.279999,167.589996,167.589996,11113800
2021-10-14,168.190002,168.220001,167.710007,168.000000,168.000000,5081400
2021-10-15,165.389999,166.089996,165.100006,165.330002,165.330002,8699200
2021-10-18,165.419998,165.589996,164.809998,164.919998,164.919998,4029600
2021-10-19,166.500000,166.500000,165.199997,165.449997,165.449997,6588500
2021-10-20,166.210007,167.110001,165.929993,166.899994,166.899994,5022000
2021-10-21,166.699997,166.940002,166.240005,166.750000,166.750000,4412400
2021-10-22,168.669998,169.539993,166.669998,167.770004,167.770004,10703900
2021-10-25,168.660004,169.210007,168.529999,168.929993,168.929993,4881300
2021-10-26,167.880005,167.910004,166.630005,167.679993,167.679993,6658900
2021-10-27,167.729996,168.199997,166.860001,168.119995,168.119995,5823100
2021-10-28,168.979996,169.250000,167.529999,168.080002,168.080002,7000700
2021-10-29,166.289993,166.729996,165.639999,166.649994,166.649994,7531900
2021-11-01,167.380005,167.839996,166.910004,167.520004,167.520004,4975600
2021-11-02,167.429993,167.630005,166.960007,167.160004,167.160004,3760700
2021-11-03,165.339996,165.949997,164.380005,165.770004,165.770004,9055200
2021-11-04,167.509995,168.139999,167.369995,167.649994,167.649994,6656100
2021-11-05,168.419998,169.940002,167.850006,169.839996,169.839996,9368900
2021-11-08,170.429993,170.699997,170.059998,170.449997,170.449997,4966100
2021-11-09,170.729996,171.309998,170.119995,171.289993,171.289993,5781200
2021-11-10,173.669998,174.649994,172.110001,173.149994,173.149994,11461800
2021-11-11,173.979996,174.270004,173.740005,174.119995,174.119995,5959600
2021-11-12,173.509995,174.669998,173.399994,174.449997,174.449997,7894800
2021-11-15,174.100006,174.589996,173.690002,174.179993,174.179993,5630800
2021-11-16,173.970001,174.479996,172.860001,172.919998,172.919998,8667300
2021-11-17,174.240005,174.610001,173.889999,174.500000,174.500000,6523100
2021-11-18,173.960007,174.360001,173.529999,173.940002,173.940002,6252000
2021-11-19,173.690002,174.100006,172.240005,172.610001,172.610001,8785600
2021-11-22,169.899994,170.440002,168.419998,168.740005,168.740005,13091900
2021-11-23,167.279999,167.600006,166.529999,167.279999,167.279999,8047800
2021-11-24,166.580002,167.440002,166.320007,167.119995,167.119995,5359500
2021-11-26,168.600006,168.639999,166.369995,166.850006,166.850006,9605200
2021-11-29,166.839996,167.259995,166.380005,166.619995,166.619995,7394900
2021-11-30,167.770004,169.009995,165.369995,165.500000,165.500000,12925300
2021-12-01,166.839996,167.470001,166.059998,166.160004,166.160004,7808600
2021-12-02,165.889999,165.940002,164.630005,165.240005,165.240005,9604100
2021-12-03,165.490005,166.929993,165.000000,166.630005,166.630005,9507900
2021-12-06,166.139999,166.800003,165.929993,166.220001,166.220001,4813600
2021-12-07,166.199997,167.080002,166.179993,166.809998,166.809998,4900700
2021-12-08,166.509995,166.960007,166.279999,166.899994,166.899994,4288900
2021-12-09,166.539993,166.580002,165.649994,165.880005,165.880005,4913800
2021-12-10,166.720001,166.919998,166.179993,166.580002,166.580002,6450600
2021-12-13,166.899994,167.259995,166.669998,167.000000,167.000000,6610700
2021-12-14,165.339996,166.139999,165.160004,165.440002,165.440002,8637900
