DATE,1-Yr,2-Yr,3-Yr,5-Yr,10-Yr
3/1/1989,4.5305051,4.52042760,4.51328670,,4.32888160
4/1/1989,4.7028561,4.60150090,4.54306760,,4.26621820
5/1/1989,4.852568,4.61846480,4.48942300,,4.09934730
6/1/1989,4.3841384,4.29365440,4.22772260,,3.96019830
7/1/1989,4.3266076,4.14062120,4.03775520,,3.74193370
8/1/1989,4.127378,3.95410360,3.85380790,,3.57848850
9/1/1989,4.0212728,4.01230860,3.98294970,,3.79750900
10/1/1989,4.2239744,4.13459270,4.07097590,,3.82618760
11/1/1989,3.9988063,3.93494720,3.88613090,,3.68775220
12/1/1989,3.6603593,3.74972780,3.76267050,,3.66326450
1/1/1990,4.1516909,4.07487410,4.01812270,,3.79080500
2/1/1990,4.4318376,4.29362460,4.22426400,,3.97214270
3/1/1990,3.9925157,4.09877180,4.10940100,,3.95728430
4/1/1990,4.1347922,4.17520350,4.15714140,,3.95741810
5/1/1990,4.2465017,4.30570470,4.30820330,,4.13665210
6/1/1990,4.1908762,4.16032880,4.13496600,,3.95429830
7/1/1990,4.0715514,4.08247020,4.05704420,,3.86380410
8/1/1990,4.1266926,4.07538400,4.03203480,,3.82569580
9/1/1990,4.7322385,4.48075850,4.37663980,,4.07342670
10/1/1990,5.0042957,4.57855610,4.40186440,,3.99257680
11/1/1990,4.9594235,4.51818570,4.35092260,,3.97991870
12/1/1990,4.8876822,4.42779780,4.24572430,,3.85662720
1/1/1991,4.0730006,3.97492260,3.94424030,,3.80459710
2/1/1991,3.7918137,3.80904940,3.81445020,,3.72591270
3/1/1991,3.7886339,3.87273570,3.91197010,,3.86816940
4/1/1991,3.7570386,3.83349660,3.85246050,,3.76559840
5/1/1991,3.6422551,3.75559820,3.80437120,,3.78276170
6/1/1991,3.5765848,3.75789100,3.83922560,,3.86532400
7/1/1991,3.8492682,3.92014660,3.95189410,,3.89068030
8/1/1991,3.7712021,3.85468760,3.89471350,,3.85523480
9/1/1991,3.5858551,3.67580900,3.71518520,,3.69041410
10/1/1991,3.5977558,3.61546150,3.63121260,,3.58985700
11/1/1991,3.4862803,3.53239280,3.56278890,,3.55320040
12/1/1991,3.5525591,3.52500560,3.53038670,,3.49561780
1/1/1992,3.2724393,3.30722400,3.34056540,,3.36882170
2/1/1992,3.3409544,3.44134360,3.50871540,,3.57512860
3/1/1992,3.5870624,3.59176060,3.61735000,,3.61002970
4/1/1992,3.3684803,3.50548620,3.58067000,,3.64129500
5/1/1992,3.4097229,3.51916110,3.59541590,,3.67118640
6/1/1992,3.5547337,3.55424750,3.58208020,,3.58717380
7/1/1992,3.2800719,3.33906340,3.38995250,,3.44686020
8/1/1992,3.113691,3.17984730,3.23470450,,3.31547970
9/1/1992,3.0056291,3.06968320,3.12160830,,3.20811610
10/1/1992,2.9535204,2.97448980,3.01056960,,3.08922780
11/1/1992,3.0830561,3.17418210,3.24195160,,3.34335780
12/1/1992,3.0122331,3.19025480,3.29279520,,3.43640610
1/1/1993,3.0462732,3.14956610,3.22135380,,3.32946520
2/1/1993,2.9146659,3.00511480,3.07121390,,3.18728190
3/1/1993,2.9762001,2.94902150,2.96275520,,3.01206710
4/1/1993,2.9080126,2.93782060,2.97636210,,3.06080570
5/1/1993,2.8227684,2.86026570,2.90406410,,3.00641620
6/1/1993,2.8107258,2.87794790,2.91968060,,2.99983390
7/1/1993,2.8204755,2.83856380,2.86801800,,2.94629200
8/1/1993,2.8309168,2.87257240,2.91015980,,2.99335460
9/1/1993,2.6860327,2.71913410,2.75274870,,2.84705060
10/1/1993,2.7698057,2.75456380,2.77239670,,2.84735160
11/1/1993,2.8056918,2.81566770,2.84049210,,2.91367740
12/1/1993,2.6618748,2.77800930,2.84672560,,2.98132980
1/1/1994,2.8546535,2.90163180,2.94086950,,3.02234980
2/1/1994,2.8042649,2.83257380,2.87115760,,2.96799930
3/1/1994,3.2724485,3.18588200,3.18463060,,3.20010880
4/1/1994,3.2195329,3.32943300,3.39822770,,3.47569390
5/1/1994,3.2434833,3.34068030,3.39784320,,3.45110280
6/1/1994,3.4229273,3.44254010,3.47478020,,3.49309510
7/1/1994,3.2848815,3.42476070,3.50993870,,3.60322770
8/1/1994,3.2882372,3.37572070,3.42155320,,3.44724970
9/1/1994,3.251555,3.37489310,3.43546600,,3.48039270
10/1/1994,3.4983836,3.60071460,3.65485550,,3.66937400
11/1/1994,3.5738487,3.68891370,3.75399240,,3.78005470
12/1/1994,3.9072213,3.88732760,3.89290380,,3.81502440
1/1/1995,3.7001702,3.81053310,3.86878630,,3.86664000
2/1/1995,3.5637152,3.68686350,3.75050150,,3.76906740
3/1/1995,3.474127,3.54510000,3.58233070,,3.57606540
4/1/1995,3.4644238,3.52441940,3.55029490,,3.52314080
5/1/1995,3.4662409,3.45171240,3.43041030,,3.32964960
6/1/1995,3.0571159,3.06759270,3.05766680,,3.01514300
7/1/1995,3.2567759,3.18896360,3.15604600,,3.08166790
8/1/1995,3.2675624,3.24718440,3.23164060,,3.17081790
9/1/1995,3.2099157,3.18091870,3.16581220,,3.11771320
10/1/1995,3.1309968,3.13269040,3.12093880,,3.07110010
11/1/1995,2.9833163,3.01563280,3.02352730,,3.02070280
12/1/1995,2.7518619,2.83716860,2.84563830,,2.83705330
1/1/1996,3.0038319,2.96664510,2.93748670,,2.88147350
2/1/1996,2.9196834,2.90322050,2.88898570,,2.86718360
3/1/1996,2.6168022,2.81607270,2.88188400,,2.96293210
4/1/1996,3.1333648,3.15764100,3.15379070,,3.10975210
5/1/1996,3.2478188,3.27480790,3.28776390,,3.27199340
6/1/1996,3.2261356,3.31480010,3.35275970,,3.36463550
7/1/1996,3.144873,3.23623110,3.26445360,,3.25897580
8/1/1996,3.1073244,3.20723240,3.24535200,,3.26375070
9/1/1996,3.1347765,3.27721050,3.32879500,,3.35206170
10/1/1996,3.1805381,3.25038570,3.27625120,,3.27413960
11/1/1996,3.0987135,3.15759250,3.18296850,,3.19534070
12/1/1996,2.9632444,3.02632830,3.04154250,,3.04050100
1/1/1997,3.1574043,3.21089670,3.23530350,,3.24210930
2/1/1997,3.1308768,3.18761060,3.21691310,,3.23700820
3/1/1997,3.2344619,3.27236540,3.28342260,,3.25760530
4/1/1997,3.2328116,3.33595420,3.37310980,,3.37331090
5/1/1997,3.1341546,3.25305060,3.29416200,,3.30548650
6/1/1997,3.201087,3.25703170,3.28550560,,3.29627540
7/1/1997,3.0903227,3.17124980,3.19676280,,3.19682960
8/1/1997,2.9692178,3.07299750,3.10994010,,3.13812460
9/1/1997,3.0134879,3.11211320,3.13899340,,3.14006380
10/1/1997,2.9881361,3.06051050,3.08934230,,3.11427570
11/1/1997,2.9327548,3.01741730,3.05208120,,3.09026910
12/1/1997,2.9354614,2.99945310,3.00839840,,2.99399030
1/1/1998,2.7570107,2.87834430,2.91426950,,2.95235630
2/1/1998,2.6177094,2.78199150,2.83737930,,2.91351250
3/1/1998,2.8714847,2.93895250,2.94967930,,2.94464820
4/1/1998,2.7267374,2.85531800,2.89095150,,2.92716050
5/1/1998,2.644841,2.82412720,2.88820660,,2.97411110
6/1/1998,2.4650222,2.71660430,2.80169970,,2.91597720
7/1/1998,2.7361812,2.84321350,2.87892640,,2.92755650
8/1/1998,2.7124419,2.82978150,2.86692480,,2.91543670
9/1/1998,2.5336411,2.64628700,2.67912720,,2.73925480
10/1/1998,2.3601762,2.36439880,2.35878190,,2.40741700
